0 6
1 28
2 2
3 24
4 30
5 20
6 26
7 16
8 22
9 12
10 18
11 8
12 14
13 4
14 10
15 0
16 6
17 28
18 2
19 24
20 30
21 20
22 26
23 16
24 22
25 12
26 18
27 8
28 14
29 4
30 10
31 0
32 6
33 28
34 2
35 24
36 30
37 20
38 26
39 16
40 22
41 12
42 18
43 8
44 14
45 4
46 10
47 0
48 6
49 28
50 2
51 24
52 30
53 20
54 26
55 16
56 22
57 12
58 18
59 8
60 14
61 4
62 10
63 0
64 6
65 28
66 2
67 24
68 30
69 20
70 26
71 16
72 22
73 12
74 18
75 8
76 14
77 4
78 10
79 0
80 6
81 28
82 2
83 24
84 30
85 20
86 26
87 16
88 22
89 12
90 18
91 8
92 14
93 4
94 10
95 0
96 6
