0 7
1 6
2 29
3 12
4 19
5 18
6 9
7 24
8 31
9 30
10 21
11 4
12 11
13 10
14 1
15 16
16 23
17 22
18 13
19 28
20 3
21 2
22 25
23 8
24 15
25 14
26 5
27 20
28 27
29 26
30 17
31 0
32 7
33 6
34 29
35 12
36 19
37 18
38 9
39 24
40 31
41 30
42 21
43 4
44 11
45 10
46 1
47 16
48 23
49 22
50 13
51 28
52 3
53 2
54 25
55 8
56 15
57 14
58 5
59 20
60 27
61 26
62 17
63 0
64 7
65 6
66 29
67 12
68 19
69 18
70 9
71 24
72 31
73 30
74 21
75 4
76 11
77 10
78 1
79 16
80 23
81 22
82 13
83 28
84 3
85 2
86 25
87 8
88 15
89 14
90 5
91 20
92 27
93 26
94 17
95 0
96 7
